Response ID,Contact ID,Text Block,1. Would you describe your current diet as healthy and balanced?,2. What is your ethnic group?,"3. How many hours do you spend on university-related work, separate from your Course Timetable, per week during exams?",How would you rate your family class? (Family earnings per year),5. How would you define your quality of life? (as defined by the World Health Organization),Text Block.1,6. How would you define your alcohol consumption?,7. Would you consider yourself an introvert or extrovert person? (Definitions from Oxford Languages),"8. In general, do you feel you experience stress while in the University? (tick all that apply)",9. Would you say that you are normally well hydrated?,10. How often do you exercise per week?,11. Do you have any known disabilities?,12. How many hours per week do you work?,13. What is your main financial support for your studies?,14. Are you in any form of employment?,15. Do you normally encounter financial issues paying your fees?,16. What Country are you from?,17. What is your year of birth?,18. What is your course of study?,Do you feel stressed before exams? (multiple choice),20. How often in the last week or two did you feel afraid that something awful might happen?,Do you prefer your timetable to be spread or compact so that you have less stress at university? (e.g. 1-2 busy days or 3-4 days with less lectures),22. What are the reasons for your timetable preference?,"23. Do you feel your timetabling structure has any impact on your study, life and health?","24. How many hours do you spend using technology devices per day (mobile, desktop, laptops, etc)?","25. How many hours do you spend using social media per day (Instagram, Tiktok, Twitter, etc)?",Text Block.2,26. What year of study are you in?,27. How important is having 'good mental health' to you?,28. Do you consider physical activity to be helpful to your mental health?,29. Do you enjoy activities centred around mindfulness?,30. Would you be interested in attending events themed around mental health?,"31. Do you enjoy non-competitive physical activity, such as walking, running, climbing, football with friends, etc?",32. Do you think mindfulness is a helpful tool for maintaining or improving your health?,33. Do you feel a sense of 'belonging' at Solent?,34. Improving/maintaining my mental health during my studies is:,35. Would you be interested in attending any of the following (tick all that apply_,Text Block.3,Confidentiality,Text Block.4,Labels,Response ID.1,Device,Captured By,Assigned User,Event Captured At,Event CRM Value,UTM Campaign,UTM Medium,UTM Source,UTM Content,UTM Term,Response Notes,Captured At,IP Address,Country Code,Country,Region Code,Region,City,Latitude,Longitude,User Type,Organisation,Internet Service Provider,Are you a home student or an international student?,"What are the approximate costs for your studies? (tuition fee per year of study, in pound £)"
107618,,,I think my diet is somewhat inbetween,White,Hours per week: 4,Middle class,High quality of life,,My alcohol consumption is below moderate,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc)",Yes,Days per week: 2,Yes,Hours per week: 10,Student loan,"Yes, I am part-time employed",No,United Kingdom,2004,BSc (Hons) Psychology with Counselling and Mental Health,Yes (due to university work),Occasionally,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),,"No, it has no impact on my studies, life or health",Hours per week: 4,Hours per day: 1,,Undergraduate 4th year,It's very important,It helps a little,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I really enjoy them,Sometimes it can be,I don't know yet,I don't know how to answer this question,"Film nights (relevant films), Book club (relevant books), Supportive group study sessions",,,,,107618,,,,,,,,,,,,23/09/2022 10:19,92.40.197.23,GB,United Kingdom,HAM,Hampshire,Fareham,50.8494,-1.1777,cellular,Three,Three,Home student,9250
107621,,,I think my diet is somewhat inbetween,Asian/Asian British,Hours per week: 5,Middle class,Medium quality of life,,I don't drink alcohol,Somewhat in between,No,Yes,Days per week: 2,No,Hours per week: 4,Student loan,"Yes, I am part-time employed",No,United Kingdom,2002,BA (Hons) Computer Games (Art),Yes (due to university work),Occasionally,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",Get time to reassemble my mind,"No, it has no impact on my studies, life or health",Hours per week: 5,Hours per day: 4,,"Level 4 (first year, undergraduate)",It's very important,Very much so,I enjoy them a lot,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,"Yes, absolutely",I don't know yet,Entirely up to me,,,,,,107621,,,,,,,,,,,,23/09/2022 10:27,92.40.196.1,GB,United Kingdom,,,,51.4964,-0.1224,cellular,Three,Three,Home student,9250
107639,,,I think my diet is somewhat inbetween,White,Hours per week: 5,Lower class,Medium quality of life,,My alcohol consumption is below moderate,Extrovert (a lively and confident person who enjoys being with other people),Yes (due to university work),No,Days per week: 2,No,Hours per week: 7,Self-paid,"Yes, I am part-time employed",Yes,United Kingdom,2002,BSc (Hons) Software Engineering,Yes (due to employment-related issues),Frequently,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",,"No, it has no impact on my studies, life or health",Hours per week: 7,Hours per day: 3,,"Level 4 (first year, undergraduate)",It's very important,Very much so,I enjoy them a lot,"I'd be interested, but it would depend on what it was",I really enjoy them,"Yes, absolutely",A little,Somewhat up to me,"Mindful gardening, Guest speakers coming in and talking about their mental health journeys, Mental health first aid training, Journal making/writing, Student-led peer support sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc), Lectures on issues to do with mental health, Mental health resource making sessions (making crisis cards, etc), General volunteering (local refugee services, litter picking, etc), Film nights (relevant films), Book club (relevant books), Supportive group study sessions",,,,,107639,,,,,,,,,,,,23/09/2022 11:46,109.175.143.71,GB,United Kingdom,STH,Southampton,Southampton,50.9142,-1.388,residential,Cablecom Networking,Cablecom Networking,Home student,9250
107645,,,I think my diet is somewhat inbetween,Asian/Asian British,Hours per week: 5,Middle class,Medium quality of life,,I don't drink alcohol,Somewhat in between,No,Yes,Days per week: 4,No,Hours per week: 1,Student loan,I am unemployed,No,United Kingdom,1/12/1999,BSc (Hons) Sport and Exercise Therapy,Yes (due to university work),Rarely,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",,"No, it has no impact on my studies, life or health",Hours per week: 4,Hours per day: 1,,"Level 4 (first year, undergraduate)",It's very important,Very much so,I enjoy them a lot,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,Sometimes it can be,I don't know yet,Somewhat up to me,"Social sports sessions aimed at mental health (mindful running/climbing, etc), Arts and crafts sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc)",,,,,107645,,,,,,,,,,,,23/09/2022 11:56,194.66.93.27,GB,United Kingdom,STH,Southampton,Southampton,50.9,-1.4,college,Southampton Solent University,Jisc Services Limited,Home student,9250
107658,,,I think my diet is somewhat inbetween,White,Hours per week: 10,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Somewhat in between,Yes (due to university work),Yes,Days per week: 1,No,Hours per week: 30,Scholarship,"Yes, I am part-time employed",No,United Kingdom,1977,BSc (Hons) Adult Nursing Practice,Yes (due to university work),Very rarely,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),I am an apprentice so not sure I can answer all these questions...,"Yes, on my life, health and studies",Hours per week: 4,Hours per day: 1,,Foundation year,It's very important,Very much so,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I really enjoy them,"Yes, absolutely",A little,Entirely up to me,"Social sports sessions aimed at mental health (mindful running/climbing, etc), Arts and crafts sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc), Film nights (relevant films)",,,,,107658,,,,,,,,,,,,23/09/2022 13:28,213.107.51.177,GB,United Kingdom,ENG,England,London,51.5338,-0.4542,business,Virgin Media Business,Virgin Media Business,Home student,9250
108578,,,I think my diet is somewhat inbetween,White,Hours per week: 18,Lower class,Medium quality of life,,My alcohol consumption is below moderate,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc)",Yes,Days per week: 1,Yes,Hours per week: 24,Student loan,I am unemployed,No,United Kingdom,2003,BA (Hons) Animation,Yes (due to university work),Very frequently,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),,"Yes, on my studies",Hours per week: 15,Hours per day: 3,,"Level 5 (second year, undergraduate)",It's somewhat important,Very much so,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,Sometimes it can be,,Entirely up to me,"Mindful gardening, Mental health first aid training, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc), Film nights (relevant films), Book club (relevant books), Supportive group study sessions",,,,,108578,,,,,,,,,,,,27/09/2022 18:11,81.104.240.195,GB,United Kingdom,HAM,Hampshire,Gosport,50.7887,-1.1475,residential,Virgin Media,Virgin Media,Home student,9250
108731,,,I think my diet is somewhat inbetween,Black/African/Caribbean/Black British,Hours per week: 10,Middle class,Medium quality of life,,I don't drink alcohol,Somewhat in between,No,Yes,Days per week: 7,No,Hours per week: 20,Self-paid,"Yes, I am part-time employed",No,United Kingdom,10/6/1987,MSc Project Management,No,Rarely,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),Because it will give me time to prepare for the next class. And also to be able to review the previous class.,"Yes, on my life, health and studies",Hours per week: 24,Hours per day: 7,,Level 7 (postgraduate),It's very important,It doesn't help me,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I really enjoy them,Sometimes it can be,Very much,Somewhat up to me,"Journal making/writing, Supportive group study sessions",,,,,108731,,,,,,,,,,,,28/09/2022 12:24,85.255.234.211,GB,United Kingdom,,,,51.4964,-0.1224,cellular,Vodafone,Vodafone,Home student,9250
108820,,,I think my diet is somewhat inbetween,White,Hours per week: 20,Middle class,Medium quality of life,,I don't drink alcohol,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",No,Days per week: 2,Yes,Hours per week: 1,Parent (family) support,I am self-employed,No,United Kingdom,2002,BA (Hons) Interior Design Decoration,Yes (due to university work),Occasionally,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),I have more time to do chunks of work so i can have saturdays off,"Yes, on my life, health and studies",Hours per week: 8,Hours per day: 6,,"Level 6 (third year, undergraduate)",It's very important,Very much so,Occasionally I've enjoyed them,I don't have any feelings on it,I don't enjoy them,Sometimes it can be,A little,Somewhat up to me,,,,,,108820,,,,,,,,,,,,28/09/2022 14:35,145.40.134.136,GB,United Kingdom,STH,Southampton,Southampton,50.9169,-1.422,residential,Toob Limited,Toob Limited,Home student,9250
108848,,,I think my diet is somewhat inbetween,White,Hours per week: 3,Lower class,Medium quality of life,,My alcohol consumption is moderate,Somewhat in between,"Yes (due to other circumstances, such as health, family issues, etc)",Yes,Days per week: 5,Yes,Hours per week: 14,Student loan,"Yes, I am part-time employed",Yes,United Kingdom,2004,BA (Hons) Acting and Performance,No,Very rarely,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",More time to focus on myself and independent work,"No, it has no impact on my studies, life or health",Hours per week: 22,Hours per day: 20,,"Level 4 (first year, undergraduate)",It's very important,Very much so,Occasionally I've enjoyed them,Not at all,I really enjoy them,"Yes, absolutely",A little,Somewhat up to me,"Mental health first aid training, General volunteering (local refugee services, litter picking, etc), Film nights (relevant films), Supportive group study sessions",,,,,108848,,,,,,,,,,,,28/09/2022 15:51,109.175.143.74,GB,United Kingdom,STH,Southampton,Southampton,50.911,-1.392,residential,Cablecom Networking Limited,Cablecom Networking Limited,Home student,9250
108860,,,I think my diet is somewhat inbetween,White,Hours per week: 17,Middle class,Medium quality of life,,I don't drink alcohol,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc)",Yes,Days per week: 3,No,Hours per week: 4,Student loan,I am unemployed,No,United Kingdom,2003,BA (Hons) Acting and Performance,"Yes (due to other circumstances such as health, family issues, etc)",Very frequently,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)","It allows for a break so you can reset your brain ready for the day the next day.
The break allows you to fully allow the information to set in inside of your brain.","No, it has no impact on my studies, life or health",Hours per week: 4,Hours per day: 2,,"Level 4 (first year, undergraduate)",It's very important,It helps a little,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I really enjoy them,"Yes, absolutely",Very much,Somewhat up to me,"Mental health first aid training, Arts and crafts sessions, General volunteering (local refugee services, litter picking, etc), Film nights (relevant films)",,,,,108860,,,,,,,,,,,,28/09/2022 16:11,5.62.43.245,GB,United Kingdom,,,,51.4964,-0.1224,hosting,AVAST Software s.r.o.,AVAST Software s.r.o.,Home student,9250
